id,pdf_url,terms,titles,abstracts
2604.14044,https://arxiv.org/pdf/2604.14044v1,['cs.CV'],Decoding the Delta: Unifying Remote Sensing Change Detection and Understanding with Multimodal Large Language Models,"While Multimodal Large Language Models (MLLMs) excel in general vision-language tasks, their application to remote sensing change understanding is hindered by a fundamental ""temporal blindness"". Existing architectures lack intrinsic mechanisms for multi-temporal contrastive reasoning and struggle with precise spatial grounding. To address this, we first introduce Delta-QA, a comprehensive benchmark comprising 180k visual question-answering samples. Delta-QA unifies pixel-level segmentation and visual question answering across bi- and tri-temporal scenarios, structuring change interpretation into four progressive cognitive dimensions. Methodologically, we propose Delta-LLaVA, a novel MLLM framework explicitly tailored for multi-temporal remote sensing interpretation. It overcomes the limitations of naive feature concatenation through three core innovations: a Change-Enhanced Attention module that systematically isolates and amplifies visual differences, a Change-SEG module utilizing Change Prior Embedding to extract differentiable difference features as input for the LLM, and Local Causal Attention to prevent cross-temporal contextual leakage. Extensive experiments demonstrate that Delta-LLaVA decisively outperforms leading generalist MLLMs and specialized segmentation models in complex change deduction and high-precision boundary localization, establishing a unified framework for earth observation intelligence."
2604.14043,https://arxiv.org/pdf/2604.14043v1,['astro-ph.SR'],Non-LTE Analysis of Pre-eruptive Prominence Plasma Parameters Effects on the Lyman-beta and Lyman-gamma Lines with Solar Orbiter SPICE Observations,"The first dedicated observation of an off-limb prominence by Solar Orbiter took place on April 15, 2023. Our aim is to determine the range of different physical parameters of this prominence and to examine how these parameters affect the formation of the Lyman $β$ and Lyman $γ$ lines of hydrogen. We have found a way to refine key physical parameters by observational data. We will test the method by this prominence observation. We generate 200 random non-LTE models using these observational constraints and compute the Lyman $β$ line and the Lyman $γ$ line profiles. We use the Spectral Imaging of the Coronal Environment (SPICE) full-disk mosaic from November 13, 2023 to constrain the incident radiation. We present the parameters and results of 200 random models using parallel coordinate plots to explore how different parameters affect the results. This allows us to infer the key physical parameters (e.g., central pressure, column mass and temperature gradient) that impact the formation of the Lyman $β$ line and the Lyman $γ$ line in this observation."
2604.11748,https://arxiv.org/pdf/2604.11748v3,"['cs.CL', 'cs.LG']",LangFlow: Continuous Diffusion Rivals Discrete in Language Modeling,"Continuous diffusion has been the foundation of high-fidelity, controllable, and few-step generation of many data modalities such as images. However, in language modeling, prior continuous diffusion language models (DLMs) lag behind discrete counterparts due to the sparse data space and the underexplored design space. In this work, we close this gap with LangFlow, the first continuous DLM to rival discrete diffusion, by connecting embedding-space DLMs to Flow Matching via Bregman divergence, alongside three key innovations: (1) we derive a novel ODE-based NLL bound for principled evaluation of continuous flow-based language models; (2) we propose an information-uniform principle for setting the noise schedule, which motivates a learnable noise scheduler based on a Gumbel distribution; and (3) we revise prior training protocols by incorporating self-conditioning, as we find it improves both likelihood and sample quality of embedding-space DLMs with effects substantially different from discrete diffusion. Putting everything together, LangFlow rivals top discrete DLMs on both the perplexity (PPL) and the generative perplexity (Gen. PPL), reaching a PPL of 30.0 on LM1B and 24.6 on OpenWebText. It even exceeds autoregressive baselines in zero-shot transfer on 4 out of 7 benchmarks. LangFlow provides the first clear evidence that continuous diffusion is a promising paradigm for language modeling. Homepage: https://github.com/nealchen2003/LangFlow"
2604.14025,https://arxiv.org/pdf/2604.14025v1,"['cs.CV', 'cs.AI', 'cs.GR']",Feed-Forward 3D Scene Modeling: A Problem-Driven Perspective,"Reconstructing 3D representations from 2D inputs is a fundamental task in computer vision and graphics, serving as a cornerstone for understanding and interacting with the physical world. While traditional methods achieve high fidelity, they are limited by slow per-scene optimization or category-specific training, which hinders their practical deployment and scalability. Hence, generalizable feed-forward 3D reconstruction has witnessed rapid development in recent years. By learning a model that maps images directly to 3D representations in a single forward pass, these methods enable efficient reconstruction and robust cross-scene generalization. Our survey is motivated by a critical observation: despite the diverse geometric output representations, ranging from implicit fields to explicit primitives, existing feed-forward approaches share similar high-level architectural patterns, such as image feature extraction backbones, multi-view information fusion mechanisms, and geometry-aware design principles. Consequently, we abstract away from these representation differences and instead focus on model design, proposing a novel taxonomy centered on model design strategies that are agnostic to the output format. Our proposed taxonomy organizes the research directions into five key problems that drive recent research development: feature enhancement, geometry awareness, model efficiency, augmentation strategies and temporal-aware models. To support this taxonomy with empirical grounding and standardized evaluation, we further comprehensively review related benchmarks and datasets, and extensively discuss and categorize real-world applications based on feed-forward 3D models. Finally, we outline future directions to address open challenges such as scalability, evaluation standards, and world modeling."
2604.14013,https://arxiv.org/pdf/2604.14013v1,"['cs.RO', 'cs.AI', 'cs.CV', 'eess.IV', 'eess.SP']",Towards Multi-Object-Tracking with Radar on a Fast Moving Vehicle: On the Potential of Processing Radar in the Frequency Domain,"We promote in this paper the processing of radar data in the frequency domain to achieve higher robustness against noise and structural errors, especially in comparison to feature-based methods. This holds also for high dynamics in the scene, i.e., ego-motion of the vehicle with the sensor plus the presence of an unknown number of other moving objects. In addition to the high robustness, the processing in the frequency domain has the so far neglected advantage that the underlying correlation based methods used for, e.g., registration, provide information about all moving structures in the scene. A typical automotive application case is overtaking maneuvers, which in the context of autonomous racing are used here as a motivating example. Initial experiments and results with Fourier SOFT in 2D (FS2D) are presented that use the Boreas dataset to demonstrate radar-only-odometry, i.e., radar-odometry without sensor-fusion, to support our arguments."
2510.02213,https://arxiv.org/pdf/2510.02213v2,['cs.CV'],Getting the Numbers Right$\unicode{x2014}$Modelling Multi-Class Object Counting in Dense and Varied Scenes,"Density map estimation enables accurate object counting in heavily occluded, and densely packed scenes where detection-based counting fails. In multi-class density estimation, class awareness can be introduced by modelling classes non-exclusively, better reflecting crowded and visually ambiguous contexts. However, existing multi-class density estimators often degrade in less-dense scenes, while state-of-the-art detectors still struggle in the most congested settings. To bridge this gap, we propose the first vision-transformer-based approach to multi-class density estimation. Our model combines a Twins-SVT pyramid vision transformer backbone with a multiscale CNN decoder that leverages hierarchical features for robust counting across a wide range of densities. Further to that, the method adds an auxiliary segmentation task with the Category Focus Module to suppress inter-category interference at training time. The module improves the density estimation head without the need for constraining assumptions added by the application of the auxiliary task at inference time, as required in previous methods. Training and evaluation on the VisDrone and iSAID benchmarks demonstrates a leap in performance versus the previous state-of-the-art multi-class density estimation methods, attaining a 33%, 43%, and 64% reduction to MAE in testing evaluation. The method outperforms YOLO11 in less busy scenes, exceeding it by an order of magnitude in the most crowded testing samples.
  Code, and trained weights available at https://github.com/LCAS/gnr_mcdest."
2604.13995,https://arxiv.org/pdf/2604.13995v1,['cs.CV'],Depth-Aware Image and Video Orientation Estimation,"This paper introduces a novel approach for image and video orientation estimation by leveraging depth distribution in natural images. The proposed method estimates the orientation based on the depth distribution across different quadrants of the image, providing a robust framework for orientation estimation suited for applications such as virtual reality (VR), augmented reality (AR), autonomous navigation, and interactive surveillance systems. To further enhance fine-scale perceptual alignment, we incorporate depth gradient consistency (DGC) and horizontal symmetry analysis (HSA), enabling precise orientation correction. This hybrid strategy effectively exploits depth cues to support spatial coherence and perceptual stability in immersive visual content. Qualitative and quantitative evaluations demonstrate the robustness and accuracy of the proposed approach, outperforming existing techniques across diverse scenarios."
2604.13994,https://arxiv.org/pdf/2604.13994v1,['cs.CV'],Remote Sensing Image Super-Resolution for Imbalanced Textures: A Texture-Aware Diffusion Framework,"Generative diffusion priors have recently achieved state-of-the-art performance in natural image super-resolution, demonstrating a powerful capability to synthesize photorealistic details. However, their direct application to remote sensing image super-resolution (RSISR) reveals significant shortcomings. Unlike natural images, remote sensing images exhibit a unique texture distribution where ground objects are globally stochastic yet locally clustered, leading to highly imbalanced textures. This imbalance severely hinders the model's spatial perception. To address this, we propose TexADiff, a novel framework that begins by estimating a Relative Texture Density Map (RTDM) to represent the texture distribution. TexADiff then leverages this RTDM in three synergistic ways: as an explicit spatial conditioning to guide the diffusion process, as a loss modulation term to prioritize texture-rich regions, and as a dynamic adapter for the sampling schedule. These modifications are designed to endow the model with explicit texture-aware capabilities. Experiments demonstrate that TexADiff achieves superior or competitive quantitative metrics. Furthermore, qualitative results show that our model generates faithful high-frequency details while effectively suppressing texture hallucinations. This improved reconstruction quality also results in significant gains in downstream task performance. The source code of our method can be found at https://github.com/ZezFuture/TexAdiff."
2604.13993,https://arxiv.org/pdf/2604.13993v1,"['cs.AI', 'cs.CL', 'cs.CV']",Reward Design for Physical Reasoning in Vision-Language Models,"Physical reasoning over visual inputs demands tight integration of visual perception, domain knowledge, and multi-step symbolic inference. Yet even state-of-the-art Vision Language Models (VLMs) fall far short of human performance on physics benchmarks. While post-training algorithms such as Supervised Fine-Tuning (SFT) and Group Relative Policy Optimization (GRPO) have demonstrated strong reasoning gains in language models, how reward design shapes VLM physical reasoning behavior remains poorly understood. We present a systematic reward ablation study for GRPO-based VLM training on physical reasoning. We compare four reward signals of increasing semantic richness: format compliance, answer accuracy, a composite rubric reward (answer correctness, physics principle identification, and unit consistency), and a novel internal reward derived from model attention weights over input image regions. We evaluate on PhyX, a 3,000-problem benchmark spanning six physics domains and six reasoning types across multiple-choice and open-ended formats, using IBM Granite Vision 3.3 (2B). Across both formats, GRPO with accuracy-based rewards outperforms SFT on most domains, though gains vary substantially by reward type and domain. Reward design does not uniformly improve performance. Instead, it induces domain-specific reasoning behaviors. Accuracy-based rewards provide the strongest overall gains. Rubric rewards improve structured reasoning quality without consistent accuracy improvements. Attention-based rewards enhance spatial reasoning while degrading performance in symbolic domains. Our internal attention-weight reward requires no spatial annotations and improves spatial relation accuracy from 0.27 to 0.50, suggesting that supervising where the model attends during generation is a promising direction for visually grounded physical reasoning."
2604.13990,https://arxiv.org/pdf/2604.13990v1,['astro-ph.SR'],Analysis of Lyman-beta and Lyman-gamma Lines in a Pre-Eruptive and Eruptive Prominence with Solar Orbiter SPICE Observations,"The first dedicated observation of an off-limb prominence by the Spectral Imaging of the Coronal Environment (SPICE) instrument on board Solar Orbiter took place on April 15, 2023. Our aim is to provide an overview of the potentiality of the diagnostics using these data. We show that we can derive the changes in the physical parameters of the pre-eruptive and eruptive prominence using the Lyman lines. We investigate the integrated intensity and line widths of the Lyman $β$ and Lyman $γ$ lines, finding variations between the prominence, disk, and coronal regions. The results reflect dynamic changes in density, temperature, and optical thickness. We analyze the spatial and temporal evolution of the Lyman $β$ and Lyman $γ$ line profiles. Using a simple geometric model, we obtain the radial velocity of this prominence at the early phase of its eruption with GONG H$α$ images. This offers a way of calculating the radial velocity of an eruptive filament from a pair of 2D images. The result helps us understand the potential Doppler effect in line profiles. Overall, the spectral profiles indicate that the eruption enhances spatial and temporal variations in line intensity, reflecting dynamic changes in plasma conditions within the prominence. These findings highlight the diagnostic potential of SPICE observations, and future Non-LTE radiative transfer modeling will help to further constrain prominence plasma parameters."
2604.13984,https://arxiv.org/pdf/2604.13984v1,['cs.NI'],Edge-Side Residual Timing and Frequency Control for Software-Defined Ground Stations in 5G NTN Uplinks,"This paper studies a ground-segment implementation problem in 5G non-terrestrial networks (NTN): once UE-side geometric pre-compensation has produced a coarse timing/frequency prior, can an edge-side residual loop keep the uplink inside an NR-feasible operating region under rapid LEO dynamics? We examine this question with a software-defined ground station (SDGS) design that keeps the coarse prior at the UE and closes the residual timing-advance (TA) / carrier-frequency-offset (CFO) loop at the ground-station edge. This paper takes a systems-and-control view rather than proposing a full-stack intelligent architecture. Its evidence base consists of a March 2026 hardware-in-the-loop (HIL) campaign and a companion uncertainty analysis. The HIL campaign includes same-window reference runs collected on the same platform with edge residual control disabled, but it does not include a cloud-loop benchmark. The placement claim is therefore architectural and control-oriented rather than a head-to-head cloud-versus-edge proof. In the Shenzhen steady-state tracking interval, the edge-controlled mode lowers mean RTT from 70.51 +/- 2.34 ms to 32.84 +/- 2.56 ms and, within the retained Layer-3 transport mapping, improves artifact-level goodput from 80.14 +/- 0.14 Mbps to 196.04 +/- 1.87 Mbps relative to that reference configuration. Across four ground-station locations, the closed-loop controller keeps residual TA P95 at 0.49 us and residual CFO P95 within 76-77 Hz. Together with the uncertainty analysis, these observations support a bounded claim: an edge-side residual timing/frequency loop can keep the SDGS uplink in a more stable NR-feasible operating regime under the assumptions retained in the current HIL artifact."
2604.13981,https://arxiv.org/pdf/2604.13981v1,['cs.CV'],HiProto: Hierarchical Prototype Learning for Interpretable Object Detection Under Low-quality Conditions,"Interpretability is essential for deploying object detection systems in critical applications, especially under low-quality imaging conditions that degrade visual information and increase prediction uncertainty. Existing methods either enhance image quality or design complex architectures, but often lack interpretability and fail to improve semantic discrimination. In contrast, prototype learning enables interpretable modeling by associating features with class-centered semantics, which can provide more stable and interpretable representations under degradation. Motivated by this, we propose HiProto, a new paradigm for interpretable object detection based on hierarchical prototype learning. By constructing structured prototype representations across multiple feature levels, HiProto effectively models class-specific semantics, thereby enhancing both semantic discrimination and interpretability. Building upon prototype modeling, we first propose a Region-to-Prototype Contrastive Loss (RPC-Loss) to enhance the semantic focus of prototypes on target regions. Then, we propose a Prototype Regularization Loss (PR-Loss) to improve the distinctiveness among class prototypes. Finally, we propose a Scale-aware Pseudo Label Generation Strategy (SPLGS) to suppress mismatched supervision for RPC-Loss, thereby preserving the robustness of low-level prototype representations. Experiments on ExDark, RTTS, and VOC2012-FOG demonstrate that HiProto achieves competitive results while offering clear interpretability through prototype responses, without relying on image enhancement or complex architectures. Our code will be available at https://github.com/xjlDestiny/HiProto.git."
2510.23952,https://arxiv.org/pdf/2510.23952v4,['math.FA'],Fixed Point Theorem for Adaptive Relaxed Asymptotic Contractions,"This paper introduces a new type of asymptotic contraction, called an adaptive relaxed asymptotic contraction, which significantly relaxes the assumptions of Kirk's classical theorem. The condition is formulated using two quantities naturally generated by the map: the T-short distance (an adaptive switching combination of a pointwise minimum and the ordinary iterated distance) and the T-long distance (the maximum of the original distance, the one-step movement distances, and the distance between the images). At each iteration step, the T-short distance is required to be bounded above by a function of the T-long distance, where the bounding functions converge uniformly on bounded sets to a Boyd-Wong comparison function. We prove that any continuous self-mapping of a complete metric space that satisfies this condition and has a bounded orbit must possess a unique fixed point, and all iterates converge to it."
2604.13970,https://arxiv.org/pdf/2604.13970v1,['cs.CV'],MApLe: Multi-instance Alignment of Diagnostic Reports and Large Medical Images,"In diagnostic reports, experts encode complex imaging data into clinically actionable information. They describe subtle pathological findings that are meaningful in their anatomical context. Reports follow relatively consistent structures, expressing diagnostic information with few words that are often associated with tiny but consequential image observations. Standard vision language models struggle to identify the associations between these informative text components and small locations in the images. Here, we propose ""MApLe"", a multi-task, multi-instance vision language alignment approach that overcomes these limitations. It disentangles the concepts of anatomical region and diagnostic finding, and links local image information to sentences in a patch-wise approach. Our method consists of a text embedding trained to capture anatomical and diagnostic concepts in sentences, a patch-wise image encoder conditioned on anatomical structures, and a multi-instance alignment of these representations. We demonstrate that MApLe can successfully align different image regions and multiple diagnostic findings in free-text reports. We show that our model improves the alignment performance compared to state-of-the-art baseline models when evaluated on several downstream tasks. The code is available at https://github.com/cirmuw/MApLe."
2604.13961,https://arxiv.org/pdf/2604.13961v1,['eess.SP'],Early Exiting U-Net for Efficient Processing on UAVs: A Case Study in Environmental Monitoring,"Oil spills represent a severe threat, making early-stage thickness estimation crucial for guiding remediation efforts. Unmanned Aerial Vehicles (UAVs) are an attractive platform for environmental monitoring. However, due to their limited computation and power budgets, real-time onboard processing requires optimized algorithms or lightweight machine learning models. While the standard U-Net architecture is often too large for constrained UAV hardware, the compressed Tiny U-Net variant fits on FPGA platforms and achieves competitive estimation performance (0.79 in the metric Intersection over Union, or IoU). Despite this success, Tiny U-Net processes every radar image through the complete inference pipeline, resulting in unnecessary computation for simple cases. To address this inefficiency, we integrate an early exit feature into the Tiny U-Net architecture. We introduce an early exit branch that returns an early prediction when a compact confidence score exceeds a tunable threshold, bypassing deeper layers for high-confidence evaluations. Our experiments demonstrate that this design achieves comparable IoU to the full baseline model. Crucially, the technique is shown to reduce the average number of multiplications by up to 42% for an aggressive threshold, reducing the dynamic power consumption. Choosing a threshold that ensures extreme confidence reduces the complexity-reduction gains for an improved IoU. This early exit approach substantially improves computational efficiency in Tiny U-Net, enabling more practical deployment in UAV-based environmental monitoring systems."
