titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Relative Entropy Estimation in Function Space: Theory and Applications to Trajectory Inference,"Trajectory Inference (TI) seeks to recover latent dynamical processes from snapshot data, where only independent samples from time-indexed marginals are observed. In applications such as single-cell genomics, destructive measurements make path-space laws non-identifiable from finitely many marginals, leaving held-out marginal prediction as the dominant but limited evaluation protocol. We introduce a general framework for estimating the Kullback-Leibler divergence (KL) divergence between probability measures on function space, yielding a tractable, data-driven estimator that is scalable to realistic snapshot datasets. We validate the accuracy of our estimator on a benchmark suite, where the estimated functional KL closely matches the analytic KL. Applying this framework to synthetic and real scRNA-seq datasets, we show that current evaluation metrics often give inconsistent assessments, whereas path-space KL enables a coherent comparison of trajectory inference methods and exposes discrepancies in inferred dynamics, especially in regions with sparse or missing data. These results support functional KL as a principled criterion for evaluating trajectory inference under partial observability.",['cs.LG'],http://arxiv.org/abs/2604.20775v1,https://arxiv.org/pdf/2604.20775v1,22/04/2026-17:03:49,"['Chao Wang', 'Luca Nepote', 'Giulio Franzese', 'Pietro Michiardi']",cs.LG
Accurate Frequency Response Modeling in Integrated T&D Co-Simulation via EWMA-RTTA-Based Quadratic Extrapolation,"The large-scale integration of inverter-based resources (IBRs), particularly distributed photovoltaics (DPVs), into distribution networks increases the need for integrated transmission and distribution (T&D) co-simulation. A key challenge in such co-simulation lies in accurately modeling system frequency across two asynchronous simulation environments. For example, the transmission system, simulated in the phasor domain, can operate with a simulation timestep of 10 ms, while the distribution system, simulated in the electromagnetic transient domain (EMT) to include IBR models, uses a much finer timestep of 100 microseconds. To ensure accurate PLL-based frequency estimation in distribution systems, it is essential to predict voltage magnitude and phase angle variations within the 10 ms transmission intervals, rather than using constant values that cause inaccurate frequency calculations. This issue becomes particularly critical when modeling primary and secondary frequency response services provided by IBRs. To address this challenge, we propose an automated Exponentially Weighted Moving Average Real-Time Threshold Adaptation (EWMA-RTTA) method, which utilizes Quadratic Extrapolation to predict voltage magnitude and phase angle trends more precisely. The proposed method is validated using two Opal-RT simulators: one simulating an IEEE 118-bus transmission system and the other simulating an IEEE 123-bus distribution network. Simulation results demonstrate that our approach improves the normalized mean absolute error (nMAE) by a factor of 25.7 compared to methods that do not account for time mismatches, offering a scalable and accurate solution for modeling IBR-based frequency response in modern power systems.",['eess.SY'],http://arxiv.org/abs/2604.20773v1,https://arxiv.org/pdf/2604.20773v1,22/04/2026-17:01:30,"['Jong Ha Woo', 'Qi Xiao', 'Yu Ma', 'Zishuo Yang', 'Victor Daldegan Paduani', 'Ning Lu']",eess.SY
Repeated Matching Games: An Empirical Framework,"We introduce a model of dynamic matching with transferable utility, extending the static model of Shapley and Shubik (1971). Forward-looking agents have individual states that evolve with current matches. Each period, a matching market with market-clearing prices takes place. We prove the existence of an equilibrium with time-varying distributions of agent types and show it is the solution to a social planner's problem. We also prove that a stationary equilibrium exists. We introduce econometric shocks to account for unobserved heterogeneity in match formation. We propose two algorithms to compute a stationary equilibrium. We adapt both algorithms for estimation. We estimate a model of accumulation of job-specific human capital using data on Swedish engineers.",['econ.EM'],http://arxiv.org/abs/2510.02737v2,https://arxiv.org/pdf/2510.02737v2,03/10/2025-05:36:37,"['Pauline Corblet', 'Jeremy Fox', 'Alfred Galichon']",econ.EM
A provably stable numerical method for the anisotropic diffusion equation in confined magnetic fields: Curvilinear coordinates and multi-block domains,"We present a robust and accurate numerical method for the anisotropic diffusion equation in curvilinear coordinates. This study extends the recent work [Muir et al., Computer Physics Communications, 2025] for solving the anisotropic diffusion equation in magnetic fields from Cartesian meshes to to curvilinear coordinates and complex geometries. The method uses summation by parts with simultaneous approximation terms for computing the diffusion perpendicular to field lines. The diffusion along field lines is computed using a penalty approach, similar to a simultaneous approximation term, but applied across the volume. To extend the method to complex geometry we use a multi-block approach with piecewise smooth structured meshes. That is, the domain is split into sub-grids, with locally adjacent boundaries coupled weakly using penalties. We prove the semi-discrete stability for the curvilinear implementation by deriving discrete energy estimates. The approach is verified though a number of numerical tests, which demonstrate the convergence properties of the method in multi-domain approach. Finally, we present a qualitative result generated in complex geometry and magnetic field, which is generated by the Stepped Pressure Equilibrium Code.",['math.NA'],http://arxiv.org/abs/2604.20766v1,https://arxiv.org/pdf/2604.20766v1,22/04/2026-16:51:13,"['Dean Muir', 'Kenneth Duru', 'Stuart Hudson', 'Matthew Hole']",math.NA
Personalized electric vehicle energy consumption estimation framework that integrates driver behavior with map data,"This paper presents a personalized Battery Electric Vehicle (BEV) energy consumption estimation framework that integrates map-based contextual features with driver-specific velocity prediction and physics-based energy consumption modeling. The system combines route selection, detailed road feature processing, a rule-based reference velocity generator, a PID controller-based vehicle dynamics simulator, and a Bidirectional LSTM model trained to reproduce individual driving behavior. The predicted individual-specific velocity profiles are coupled with a quasi-steady backward energy consumption model to compute tractive power, regenerative braking, and State-of-Charge (SOC) evolution. Evaluation across urban, freeway, and hilly routes demonstrates that the proposed approach captures key driver behavioral patterns such as deceleration at intersections, speed-limit tracking, and road grade-dependent responses, while producing accurate power and SOC trajectories. The results highlight the effectiveness of combining learned driver behavior with map-based context and physics-based energy consumption modeling to produce accurate, personalized BEV SOC depletion profiles.","['eess.SY', 'cs.LG']",http://arxiv.org/abs/2604.20764v1,https://arxiv.org/pdf/2604.20764v1,22/04/2026-16:49:52,"['Sreechakra Vasudeva Raju Rachavelpula', 'Sangwhan Cha']",eess.SY
"Coverage, Not Averages: Semantic Stratification for Trustworthy Retrieval Evaluation","Retrieval quality is the primary bottleneck for accuracy and robustness in retrieval-augmented generation (RAG). Current evaluation relies on heuristically constructed query sets, which introduce a hidden intrinsic bias. We formalize retrieval evaluation as a statistical estimation problem, showing that metric reliability is fundamentally limited by the evaluation-set construction. We further introduce \emph{semantic stratification}, which grounds evaluation in corpus structure by organizing documents into an interpretable global space of entity-based clusters and systematically generating queries for missing strata. This yields (1) formal semantic coverage guarantees across retrieval regimes and (2) interpretable visibility into retrieval failure modes.
  Experiments across multiple benchmarks and retrieval methods validate our framework. The results expose systematic coverage gaps, identify structural signals that explain variance in retrieval performance, and show that stratified evaluation yields more stable and transparent assessments while supporting more trustworthy decision-making than aggregate metrics.","['cs.IR', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2604.20763v1,https://arxiv.org/pdf/2604.20763v1,22/04/2026-16:49:30,"['Andrew Klearman', 'Radu Revutchi', 'Rohin Garg', 'Rishav Chakravarti', 'Samuel Marc Denton', 'Yuan Xue']",cs.IR
Rays as Pixels: Learning A Joint Distribution of Videos and Camera Trajectories,"Recovering camera parameters from images and rendering scenes from novel viewpoints have been treated as separate tasks in computer vision and graphics. This separation breaks down when image coverage is sparse or poses are ambiguous, since each task depends on what the other produces. We propose Rays as Pixels, a Video Diffusion Model (VDM) that learns a joint distribution over videos and camera trajectories. To our knowledge, this is the first model to predict camera poses and do camera-controlled video generation within a single framework. We represent each camera as dense ray pixels (raxels), a pixel-aligned encoding that lives in the same latent space as video frames, and denoise the two jointly through a Decoupled Self-Cross Attention mechanism. A single trained model handles three tasks: predicting camera trajectories from video, generating video from input images along a pre-defined trajectory, and jointly synthesizing video and trajectory from input images. We evaluate on pose estimation and camera-controlled video generation, and introduce a closed-loop self-consistency test showing that the model's predicted poses and its renderings conditioned on those poses agree. Ablations against Plücker embeddings confirm that representing cameras in a shared latent space with video is subtantially more effective.","['cs.CV', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2604.09429v3,https://arxiv.org/pdf/2604.09429v3,10/04/2026-15:47:23,"['Wonbong Jang', 'Shikun Liu', 'Soubhik Sanyal', 'Juan Camilo Perez', 'Kam Woh Ng', 'Sanskar Agrawal', 'Juan-Manuel Perez-Rua', 'Yiannis Douratsos', 'Tao Xiang']",cs.CV
Geometric Renyi Differential Privacy: Ricci Curvature Characterized by Heat Diffusion Mechanisms,"In this paper, we develop a novel privacy mechanism for Riemannian manifold-valued data. Our key contribution lies in uncovering unexpected connections among geometric analysis, heat diffusion models, and differential privacy (DP). We characterize the Renyi divergence via dimension-free Harnack inequalities on Riemannian manifolds and establish Renyi differential privacy guarantees governed by Ricci curvature. For manifolds with nonnegative Ricci curvature, we propose a mechanism based on heat diffusion. In contrast, for general manifolds we introduce a Langevin-process-based approach that yields intrinsic mechanisms supporting normalization-free sampling and continuous privacy-utility trade-offs. We derive detailed utility analyses for both mechanisms. As a statistical application, we develop privacy-preserving estimation of the generalized Frechet mean, including nontrivial sensitivity analysis and phase transition characterizations. Numerical experiments further demonstrate the advantages of the proposed DP mechanisms over existing approaches.","['stat.ML', 'stat.ME']",http://arxiv.org/abs/2604.20761v1,https://arxiv.org/pdf/2604.20761v1,22/04/2026-16:48:55,"['Xiaotian Chang', 'Yangdi Jiang', 'Cyrus Mostajeran', 'Qirui Hu']",stat.ML
How do sub-bandgap reflectors affect the performance of PV modules?,"Sub-bandgap reflectors (SBR) can reduce the temperature of photovoltaic (PV) modules by reflecting the near-infrared region of the solar spectrum with photon energies smaller than the electronic bandgap of the solar cell absorber material. We consider an ideal SBR, which reflects 100 % of non-harvestable low-energy photons but does not alter the reflectivity of the PV module for usable high-energy photons, and estimate how reducing the module temperature with the SBR affects the annual and the cumulative energy yield of silicon PV modules for six locations in North America and Europe. An ideal SBR would increase the annual energy yield between 1.0 % and 1.5 % for open-rack mounted modules and between 1.6 % and 2.4 % for close-roof mounted PV modules. Whether a non-ideal SBR provides a benefit in actual deployments strongly depends on the location and the optical properties of the coating. Beyond effects on the instantaneous power conversion efficiency and hence the annual energy yield, reducing the temperature by a SBR might also reduce the degradation and increase the overall lifetime of the PV module. By describing degradation using a simple Arrhenius approach using typical activation energies between 0.4 eV and 0.8 eV, we find that an ideal SBR increases the cumulative energy yield over 30 years between 2.2 % and 4.0 % for an open-rack mounted PV module in Princeton, New Jersey, USA.",['physics.app-ph'],http://arxiv.org/abs/2604.20757v1,https://arxiv.org/pdf/2604.20757v1,22/04/2026-16:45:23,"['Klaus Jäger', 'Jyotirmoy Mandal', 'Barry P. Rand', 'Forrest Meggers', 'Christiane Becker']",physics.app-ph
Incremental SVD Compression for Nonlinear Oldroyd Equations with General Memory Kernels,"We study mixed finite element/Crank--Nicolson discretizations of a nonlinear Oldroyd problem with general nonsingular and weakly singular memory kernels. Direct evaluation of the history term requires storing all previous velocity snapshots, which leads to $\mathcal{O}(mN)$ memory and $\mathcal{O}(mN^2)$ work over $N$ time steps, where $m$ denotes the number of spatial degrees of freedom. To reduce this burden, we compress the velocity history online by an incremental singular value decomposition and use the compressed representation in the discrete memory term. Under an approximate low-rank assumption of numerical rank $r$, the storage decreases to $\mathcal{O}((m+N)r)$, while the total history-evaluation work becomes $\mathcal{O}(mNr+rN^2)$. For nonsingular kernels, we derive a tolerance-dependent perturbation estimate showing that the baseline finite element accuracy is retained when the compression tolerance is sufficiently small. We also extend the approach to tempered weakly singular kernels via convolution quadrature. Numerical tests show near-indistinguishable solutions from the uncompressed scheme for the reported tolerances, together with substantial memory savings and reduced wall-clock time.",['math.NA'],http://arxiv.org/abs/2604.20751v1,https://arxiv.org/pdf/2604.20751v1,22/04/2026-16:42:22,"['Gang Chen', 'Yangwen Zhang', 'Dujin Zuo']",math.NA
Where and What: Reasoning Dynamic and Implicit Preferences in Situated Conversational Recommendation,"Situated conversational recommendation (SCR), which utilizes visual scenes grounded in specific environments and natural language dialogue to deliver contextually appropriate recommendations, has emerged as a promising research direction due to its close alignment with real-world scenarios. Compared to traditional recommendations, SCR requires a deeper understanding of dynamic and implicit user preferences, as the surrounding scene often influences users' underlying interests, while both may evolve across conversations. This complexity significantly impacts the timing and relevance of recommendations. To address this, we propose situated preference reasoning (SiPeR), a novel framework that integrates two core mechanisms: (1) Scene transition estimation, which estimates whether the current scene satisfies user needs, and guides the user toward a more suitable scene when necessary; and (2) Bayesian inverse inference, which leverages the likelihood of multimodal large language models (MLLMs) to predict user preferences about candidate items within the scene. Extensive experiments on two representative benchmarks demonstrate SiPeR's superiority in both recommendation accuracy and response generation quality. The code and data are available at https://github.com/DongdingLin/SiPeR.",['cs.AI'],http://arxiv.org/abs/2604.20749v1,https://arxiv.org/pdf/2604.20749v1,22/04/2026-16:39:52,"['Dongding Lin', 'Jian Wang', 'Yongqi Li', 'Wenjie Li']",cs.AI
Differential ML with a Difference,"Differential ML (Huge and Savine 2020) is a technique for training neural networks to provide fast approximations to complex simulation-based models for derivatives pricing and risk management. It uses price sensitivities calculated through pathwise adjoint differentiation to reduce pricing and hedging errors. However, for options with discontinuous payoffs, such as digital or barrier options, the pathwise sensitivities are biased, and incorporating them into the loss function can magnify errors. We consider alternative methods for estimating sensitivities and find that they can substantially reduce test errors in prices and in their sensitivities. Using differential labels calculated through the likelihood ratio method expands the scope of Differential ML to discontinuous payoffs. A hybrid method incorporates gamma estimates as well as delta estimates, providing further regularization.",['q-fin.PR'],http://arxiv.org/abs/2512.05301v2,https://arxiv.org/pdf/2512.05301v2,04/12/2025-22:38:07,"['Paul Glasserman', 'Siddharth Hemant Karmarkar']",q-fin.PR
AnatomicalNets: A Multi-Structure Segmentation and Contour-Based Distance Estimation Pipeline for Clinically Grounded Lung Cancer T-Staging,"Accurate tumor staging in lung cancer is crucial for prognosis and treatment planning and is governed by explicit anatomical criteria under fixed guidelines. However, most existing deep learning approaches treat this spatially structured clinical decision as an uninterpretable image classification problem. Tumor stage depends on predetermined quantitative criteria, including the tumor's dimensions and its proximity to adjacent anatomical structures, and small variations can alter the staging outcome. To address this gap, we propose AnatomicalNets, a medically grounded, multi-stage pipeline that reformulates tumor staging as a measurement and rule-based inference problem rather than a learned mapping. We employ three dedicated encoder-decoder networks to precisely segment the lung parenchyma, tumor, and mediastinum. The diaphragm boundary is estimated via a lung-contour heuristic, while the tumor's largest dimension and its proximity to adjacent structures are computed through a contour-based distance estimation method. These features are passed through a deterministic decision module following the international association for the study of lung cancer guidelines. Evaluated on the Lung-PET-CT-Dx dataset, AnatomicalNets achieves an overall classification accuracy of 91.36%. We report the per-stage F1-scores of 0.93 (T1), 0.89 (T2), 0.96 (T3), and 0.90 (T4), a critical evaluation aspect often omitted in prior literature. We highlight that the representational bottleneck in prior work lies in feature design rather than classifier capacity. This work establishes a transparent and reliable staging paradigm that bridges the gap between deep learning performance and clinical interpretability.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2511.19367v2,https://arxiv.org/pdf/2511.19367v2,24/11/2025-18:01:47,"['Saniah Kayenat Chowdhury', 'Rusab Sarmun', 'Muhammad E. H. Chowdhury', 'Sohaib Bassam Zoghoul', 'Israa Al-Hashimi', 'Adam Mushtak', 'Amith Khandakar']",cs.CV
SYK thermal expectations are classically easy at any temperature,"Estimating thermal expectations of local observables is a natural target for quantum advantage. We give a simple classical algorithm that approximates thermal expectations for Gibbs states of local Hamiltonians, and we show it has quasi-polynomial cost $n^{O(\log (n/ε))}$ for all temperatures above a phase transition in the free energy. For many natural models, this coincides with the entire fast-mixing, quantumly easy phase. Our results apply to the Sachdev-Ye-Kitaev (SYK) model at any constant temperature due to its absence of a phase transition -- despite its entanglement, sign problem, and polynomial quantum circuit lower bounds. Beyond SYK, we rigorously establish a universal classically easy high-temperature phase for all local, bounded-degree Hamiltonians and show that it extends to temperatures strictly colder than the death of entanglement transition.","['quant-ph', 'cs.DS']",http://arxiv.org/abs/2602.22619v2,https://arxiv.org/pdf/2602.22619v2,26/02/2026-04:48:32,"['Alexander Zlokapa', 'Bobak T. Kiani']",quant-ph
Evaluating Software Defect Prediction Models via the Area Under the ROC Curve Can Be Misleading,"Background: Receiver Operating Characteristic (ROC) curves are widely used to evaluate the performance of Software Defect Prediction (SDP) models that estimate module fault-proneness, i.e., the probability that a module is faulty. A ROC curve maps a model's performance in terms of True Positive Rate and False Positive Rate for any possible threshold set on fault-proneness. The Area Under the ROC Curve (AUC) summarizes the performance of a model across all possible thresholds. Traditionally, ROC curves completely above the bisector of the ROC space are considered better than random, and high AUC values are associated with good performance. Aim: We investigate whether these beliefs are correct, hence if SDP model evaluation based on ROC curves and AUC is reliable. Method: We decorate ROC curves by highlighting the points corresponding to threshold values. We also represent True Positive Rate and False Positive Rate as functions of the threshold. Thus, we can evaluate whether a model classifies both faulty and non-faulty modules better than the random model. Results: We show that commonly used evaluation criteria may lead to wrong conclusions. Conclusions: A high value of AUC does not guarantee that both the True Positive Rate and the False Positive Rate of a model are better than the random model's for all possible thresholds. Either decorated ROC curves or alternative representations are needed to appreciate all the relevant aspects of SDP models.",['cs.SE'],http://arxiv.org/abs/2604.20742v1,https://arxiv.org/pdf/2604.20742v1,22/04/2026-16:28:48,"['Luigi Lavazza', 'Gabriele Rotoloni', 'Sandro Morasca']",cs.SE
